cand_id,parents,rank,distance,kcal,irr
37_14,"['18_30', '18_30']",1,inf,34272279.131386176,-551.5116279069767
36_71,"['31_68', '31_68']",1,inf,20462425.38583839,-0.0
36_70,"['18_30', '34_70']",1,0.09845299992485573,34076679.84361551,-540.8720930232558
37_71,"['36_27', '36_88']",1,0.08660670243860669,29844176.13749117,-181.22093023255815
36_73,"['35_13', '35_48']",1,0.08553459797190416,32068454.61308166,-254.65116279069767
37_29,"['36_34', '36_22']",1,0.04921636351493259,25516727.7546104,-92.61627906976744
37_53,"['36_73', '34_70']",1,0.045866330797400295,32568506.73402892,-306.45348837209303
37_11,"['36_11', '36_67']",1,0.04103546049274462,33765279.0656597,-414.24418604651163
37_35,"['36_71', '36_83']",1,0.03787854937565939,22324475.24967,-17.267441860465116
37_79,"['36_11', '35_37']",1,0.03627246638693289,33574370.32573695,-389.1279069767442
37_77,"['35_37', '36_22']",1,0.03405695972575315,27403349.39716042,-108.31395348837209
37_37,"['36_6', '35_37']",1,0.03305043990610884,25872727.785934698,-93.66279069767442
37_3,"['36_27', '36_71']",1,0.02746895515557499,23551863.016037088,-55.46511627906977
36_27,"['34_25', '35_12']",1,0.026992673753759147,29891918.17160075,-189.7674418604651
37_0,"['36_71', '36_58']",1,0.025471970945261956,20844830.488022756,-3.6627906976744184
37_34,"['36_44', '36_44']",1,0.02547030347178538,25295034.76366243,-71.33720930232558
37_70,"['36_4', '36_56']",1,0.02338368578826478,24527985.96178194,-61.91860465116279
37_38,"['36_71', '36_22']",1,0.018306663101237672,20975586.322111353,-8.895348837209303
37_48,"['36_22', '36_73']",1,0.018157629227561374,28119113.849803507,-128.02325581395348
37_43,"['36_6', '36_71']",1,0.016860377158974916,21092543.911190342,-11.511627906976743
37_40,"['36_11', '36_1']",1,0.0159433294880789,33408262.74147111,-378.48837209302326
37_9,"['36_48', '36_45']",1,0.015239861275732429,25387667.42859642,-74.30232558139535
37_13,"['36_83', '36_44']",1,0.012830965235630761,23422227.556557663,-36.80232558139535
37_18,"['36_67', '36_11']",1,0.009890706636146992,33687477.77226922,-399.9418604651163
37_15,"['36_6', '36_83']",1,0.005585460433299834,20979073.181924663,-11.162790697674419
18_30,"['17_54', '17_54']",2,inf,34272151.760578044,-551.5116279069767
37_4,"['36_1', '36_11']",2,0.15957223202547252,31108057.658947386,-355.4651162790698
37_12,"['36_11', '36_83']",2,0.11628056654606553,29708168.97743911,-196.56976744186048
37_30,"['36_27', '36_73']",2,0.09332390452370593,30067023.447174694,-267.90697674418607
37_89,"['36_22', '36_59']",2,0.03845195652616306,23810431.50821512,-71.86046511627907
37_78,"['36_56', '36_22']",2,0.028581972973661225,23662887.972911254,-63.13953488372093
37_58,"['36_4', '36_27']",2,0.028192629702089043,23185147.37086143,-42.73255813953488
37_51,"['36_27', '36_58']",2,0.02749076056955054,27731230.460387357,-132.2093023255814
36_67,"['35_48', '34_82']",2,0.02636575521945149,33516720.632684983,-395.40697674418607
37_26,"['36_27', '36_73']",2,0.025780747706208945,32595841.48393623,-379.36046511627904
37_7,"['36_83', '36_83']",2,0.024794333305579425,22051491.33864811,-24.593023255813954
37_36,"['36_27', '35_37']",2,0.022761282010304133,28076587.6928814,-135.69767441860466
37_46,"['36_73', '36_4']",2,0.020946179437227583,25170604.290895373,-74.82558139534883
37_44,"['36_34', '36_6']",2,0.0196849943636944,27268524.64600203,-122.26744186046511
37_67,"['36_1', '36_67']",2,0.019294065618978173,28136398.91325348,-191.86046511627907
37_20,"['36_44', '36_35']",2,0.018490114809766933,26917431.08997847,-108.66279069767442
36_22,"['35_20', '35_26']",2,0.017494790342171832,21124671.38728993,-17.790697674418606
37_81,"['36_88', '36_35']",2,0.017190911902376246,27131504.57978671,-110.23255813953489
36_11,"['35_48', '34_25']",2,0.017050062656230804,33678030.34406,-416.16279069767444
37_50,"['36_83', '36_1']",2,0.016711923232363597,23419853.403513215,-47.26744186046512
37_72,"['36_4', '36_34']",2,0.015103043650369612,21888402.903886218,-21.976744186046513
37_1,"['36_86', '35_37']",2,0.013991438976303328,22286739.239036858,-29.476744186046513
37_16,"['36_71', '36_66']",2,0.013364662654138097,21389015.014205437,-20.058139534883722
36_83,"['35_6', '34_83']",2,0.011756923872525422,21985837.302517317,-22.5
37_63,"['36_1', '36_27']",2,0.008916336789770293,26052447.690642174,-108.31395348837209
37_47,"['36_71', '36_71']",2,0.008422106118389288,20406897.30330437,-0.0
37_8,"['36_27', '36_11']",2,0.002797449525309183,32587560.142606154,-378.48837209302326
37_21,"['36_1', '36_70']",3,0.08890618996361824,28311090.350336384,-265.98837209302326
37_57,"['36_86', '36_6']",3,0.045496278629880794,24786345.753524136,-76.56976744186046
37_27,"['36_11', '36_58']",3,0.0393900504274311,33392947.29603946,-420.8720930232558
37_82,"['36_44', '36_25']",3,0.037243299712541256,22882205.330758598,-49.7093023255814
37_64,"['36_67', '36_6']",3,0.03314655764261381,28048236.972712733,-143.02325581395348
37_33,"['36_11', '34_70']",3,0.02997646412932642,32736174.99577972,-399.7674418604651
37_61,"['36_25', '36_71']",3,0.02976638115870969,19754311.330558598,-0.0
37_62,"['36_1', '36_88']",3,0.02187954505749378,26086551.227347247,-109.70930232558139
36_4,"['35_86', '34_77']",3,0.02121928749665765,22258789.07455322,-36.97674418604651
37_76,"['36_45', '36_83']",3,0.01824276058093467,23097180.020765234,-52.674418604651166
37_83,"['36_22', '36_83']",3,0.01582770644098206,20273129.634682342,-4.3604651162790695
37_59,"['36_34', '36_11']",3,0.012345111099686478,26948383.85059166,-117.55813953488372
37_75,"['36_22', '36_71']",3,0.0091696371365706,20264398.183214985,-0.3488372093023256
37_17,"['36_47', '36_44']",3,0.006865074723320879,21893864.697194505,-30.697674418604652
37_41,"['36_4', '36_70']",4,0.06197912780747173,27436903.9232534,-218.37209302325581
37_74,"['36_4', '36_70']",4,0.034660795760270494,27765182.57353628,-256.04651162790697
37_24,"['36_67', '36_56']",4,0.03217664245411277,32733410.88574364,-403.0813953488372
37_68,"['36_67', '36_4']",4,0.028174184700177875,26589664.369054977,-123.66279069767442
37_6,"['36_1', '36_25']",4,0.02563524818063764,24916653.519208055,-119.47674418604652
37_19,"['36_22', '36_27']",4,0.02035004362218959,24619110.64223627,-114.76744186046511
37_42,"['36_73', '36_71']",4,0.016188697655699625,21372026.998053588,-30.872093023255815
37_28,"['36_71', '36_83']",4,0.013962645372487877,20081248.688400183,-0.3488372093023256
37_31,"['18_30', '36_48']",5,0.14813622662832265,27460058.45592057,-479.8255813953488
37_65,"['36_67', '36_56']",5,0.0824806841668225,26480240.027305815,-146.51162790697674
37_56,"['36_11', '36_83']",5,0.022164188025576022,25797255.863441207,-146.3372093023256
37_86,"['36_88', '36_71']",5,0.014238428456911218,20007438.370331075,-1.744186046511628
37_84,"['36_59', '36_70']",5,0.013523712446583264,27002979.726721358,-369.9418604651163
37_60,"['36_4', '36_11']",5,0.008663550848828581,26518756.33412619,-190.63953488372093
37_10,"['18_30', '36_4']",6,0.0399378685856861,25900363.47451832,-244.7093023255814
37_22,"['36_73', '36_67']",6,0.03739509501308204,22941204.322421264,-237.03488372093022
37_49,"['36_71', '36_67']",6,0.022014762346334094,19896280.316120453,-33.13953488372093
37_55,"['18_30', '36_1']",7,0.04204545654944458,24406297.378324956,-421.3953488372093
37_87,"['36_73', '36_71']",7,0.03343486534137705,19241465.742995642,-112.67441860465117
37_66,"['36_67', '36_73']",7,0.027952644826527685,21653922.29338705,-295.63953488372096
37_54,"['18_30', '36_45']",8,0.12113192772617767,23330936.507439982,-509.6511627906977
37_23,"['36_70', '36_4']",8,0.06128966093359947,20509699.47812889,-311.33720930232556
37_45,"['36_83', '18_30']",8,0.03888075838576168,18637932.940098178,-229.36046511627907
37_85,"['18_30', '36_44']",8,0.03803540743045982,21501815.669173863,-369.7674418604651
37_73,"['36_11', '18_30']",8,0.01972660127030912,23116659.807194002,-432.90697674418607
37_88,"['36_25', '36_70']",9,0.1291220352113041,18603702.154418156,-292.8488372093023
37_80,"['18_30', '35_37']",9,0.1237396916943654,16041430.15401906,-266.51162790697674
37_69,"['36_56', '18_30']",9,0.09012125421699017,20994502.789288063,-435.1744186046512
