cand_id,parents,rank,distance,yield,irrigation,smts,max_irr_season
0_96,"['0_1', '0_0']",1,inf,14.40303499763352,-378.3448181152344,"[82.63338, 66.78956, 43.489132, 77.491066]",378.3448181152344
0_0,[],1,inf,10.774907031342904,-0.0,"[1.0236202, 0.99439126, 1.250917, 0.9883495]",3.7986135482788086
2_89,"['0_0', '1_86']",1,inf,10.774907031342904,-0.0,"[1.3069844, 1.2562418, 2.458571, 1.1880217]",5.686285018920898
2_43,"['1_9', '1_52']",1,0.11001352659227509,13.769772952720949,-118.24617767333984,"[36.0076, 43.131523, 68.90366, 22.669039]",118.24617767333984
2_36,"['1_52', '1_35']",1,0.09421347589340424,13.309260917507892,-107.94646453857422,"[47.7831, 69.42846, 46.121166, 21.027494]",107.94646453857422
2_8,"['0_96', '1_29']",1,0.07493986118879811,14.253906207218186,-180.9080047607422,"[60.744614, 70.21474, 32.363297, 32.271454]",180.9080047607422
2_81,"['1_13', '1_64']",1,0.06500624812593361,12.93670707282601,-66.1383056640625,"[7.2434134, 11.549802, 57.209145, 9.679922]",66.1383056640625
2_75,"['1_48', '1_13']",1,0.064135523885437,11.259983022626743,-13.901530265808105,"[11.123996, 6.4678035, 30.778658, 6.396041]",13.901530265808105
2_26,"['1_48', '0_96']",1,0.061157135705302346,14.370158195043295,-227.35447692871094,"[82.61389, 57.07642, 30.654425, 65.37845]",227.35447692871094
2_32,"['1_29', '0_95']",1,0.060115392925739176,13.97493871846452,-155.21368408203125,"[42.334934, 56.57175, 38.04797, 29.29474]",155.21368408203125
2_33,"['1_86', '1_37']",1,0.057317498198504596,11.498864444272412,-19.5432186126709,"[3.5176828, 26.476723, 45.50538, 2.717779]",19.5432186126709
2_68,"['1_78', '1_64']",1,0.056559690020491556,13.205953257996873,-79.94261932373047,"[30.714256, 56.09299, 47.062466, 15.742676]",79.94261932373047
2_60,"['1_16', '1_9']",1,0.05231804127713577,14.022447298869617,-173.90509033203125,"[13.870999, 31.23029, 33.030888, 43.35283]",173.90509033203125
2_21,"['1_71', '0_95']",1,0.05146544991065686,12.001317268034885,-33.65090560913086,"[10.703931, 54.501896, 22.83658, 10.1063795]",33.65090560913086
2_88,"['1_12', '1_31']",1,0.05116939535247335,13.84884285338775,-148.1799774169922,"[52.837753, 40.42047, 56.81821, 20.091434]",148.1799774169922
2_82,"['0_95', '1_13']",1,0.04274976749875209,12.32827302076902,-43.14449691772461,"[27.479496, 41.168472, 46.111588, 14.381465]",43.14449691772461
2_47,"['1_2', '1_64']",1,0.04181551494730035,12.048463263180246,-34.77962112426758,"[10.329442, 6.7738914, 44.464317, 8.267978]",34.77962112426758
2_24,"['1_16', '1_64']",1,0.04105396148128984,12.232311050364025,-40.05123519897461,"[26.614868, 29.500484, 62.079006, 22.27358]",40.05123519897461
2_3,"['1_52', '1_12']",1,0.040671902537197525,11.897644384209658,-30.465150833129883,"[15.50461, 15.633739, 52.615704, 13.900042]",30.465150833129883
2_84,"['1_11', '1_71']",1,0.04047851135418214,11.687726783273202,-27.089380264282227,"[8.783008, 16.158693, 32.973366, 20.0591]",27.089380264282227
1_9,"['0_18', '0_21']",1,0.03785080407695108,13.841945042429149,-141.71893310546875,"[35.574223, 29.887815, 37.053852, 30.197187]",141.71893310546875
2_61,"['1_2', '0_95']",1,0.035374477565849646,12.173371523324835,-38.39726257324219,"[16.133902, 29.509432, 37.8983, 10.018272]",38.39726257324219
2_23,"['1_52', '1_41']",1,0.034843539571244725,12.50921670263549,-49.0321159362793,"[14.49501, 7.4330964, 50.33988, 7.668838]",49.0321159362793
2_37,"['1_48', '0_95']",1,0.03395743071946772,13.24524350331892,-97.74156188964844,"[42.40325, 49.444233, 40.061764, 33.657387]",97.74156188964844
1_12,"['0_95', '0_81']",1,0.030636332082962604,12.454429081001955,-47.114376068115234,"[30.881134, 38.597736, 43.462868, 15.295495]",47.114376068115234
2_87,"['1_71', '1_48']",1,0.027711036445290764,12.425060868006277,-46.09543228149414,"[18.656588, 14.092544, 36.98791, 13.051145]",46.09543228149414
2_49,"['1_16', '1_2']",1,0.027684991510257502,12.564387707746858,-50.99808883666992,"[24.676306, 6.9983788, 34.91681, 46.435837]",50.99808883666992
1_48,"['0_0', '0_3']",1,0.027648054545462118,11.300848517270929,-16.702102661132812,"[38.328487, 7.1472473, 19.740715, 6.5776296]",16.702102661132812
