cand_id,parents,rank,distance,kcal,irr
20_69,"['16_54', '19_58']",1,inf,34357917.50432168,-903.75
10_73,"['6_46', '9_1']",1,inf,30882384.06802138,-0.0
23_2,"['22_53', '22_53']",1,0.06691288618968738,32581466.543373127,-285.0
23_77,"['22_48', '21_53']",1,0.0475788416513851,34131881.22229534,-750.0
23_54,"['22_46', '22_34']",1,0.04597781225377883,33414441.83694569,-537.0
23_5,"['22_27', '22_32']",1,0.04594194723468914,34047990.99544891,-723.75
22_32,"['21_87', '21_53']",1,0.04187850335808281,34277574.72236043,-822.0
23_16,"['22_25', '22_3']",1,0.03762253685084343,33769209.53420671,-630.75
23_60,"['22_81', '21_71']",1,0.03645203164940489,33296956.058618527,-515.25
23_48,"['22_79', '22_27']",1,0.035717249405883306,33927660.67284052,-687.0
23_52,"['22_1', '22_61']",1,0.034967159407984894,31462545.933185387,-36.0
23_31,"['22_32', '22_46']",1,0.03445873878521473,33834082.277470544,-648.75
23_29,"['22_1', '10_73']",1,0.03276943642924465,31938924.2059483,-133.5
21_53,"['19_68', '20_1']",1,0.03159460329154722,32138671.803334497,-156.75
23_82,"['22_81', '22_46']",1,0.03071864859444369,34087415.3626582,-748.5
23_30,"['22_0', '22_81']",1,0.02803915475022611,33206968.52158311,-510.0
23_81,"['21_53', '22_34']",1,0.027189441398390652,32790270.686168928,-311.25
23_13,"['22_81', '22_81']",1,0.025723705657819538,34300178.46057651,-861.75
22_81,"['21_36', '20_69']",1,0.024938894724719395,34291011.89682971,-860.25
23_66,"['22_85', '22_53']",1,0.024845212609686626,33977592.06297431,-711.75
23_11,"['22_53', '22_25']",1,0.02440024567352265,31931015.326781612,-118.5
23_20,"['22_46', '21_53']",1,0.0240909728795393,31721331.051095445,-65.25
23_87,"['10_73', '22_72']",1,0.02092521927250364,33042574.258968502,-391.5
23_78,"['22_48', '22_59']",1,0.020014575942442277,34280753.645402774,-829.5
23_63,"['22_46', '22_25']",1,0.019840056760125496,33447754.933891445,-561.0
23_37,"['10_73', '20_8']",1,0.019684731232422946,31347731.286387105,-24.0
23_15,"['22_1', '22_2']",1,0.019542589395161004,32143206.09895147,-222.0
23_39,"['22_81', '21_71']",1,0.016785983128346716,33653050.43487014,-590.25
23_75,"['22_3', '22_3']",1,0.015051635233046161,33184920.133093767,-412.5
23_71,"['22_48', '21_71']",1,0.014402710095228248,33557199.630002506,-576.75
23_36,"['22_48', '20_8']",1,0.01394904848193369,32820531.804843288,-321.75
23_14,"['22_32', '21_53']",1,0.013599335982510619,33808799.16053016,-639.75
23_18,"['22_32', '22_88']",1,0.013316803923635502,33523381.485055737,-567.75
23_32,"['22_34', '21_71']",1,0.012246634147459906,33665081.19980116,-592.5
22_46,"['21_86', '21_71']",1,0.012151823008228802,32841433.571128767,-382.5
23_10,"['10_73', '20_69']",1,0.011635767278191628,33504143.275704812,-566.25
23_17,"['22_81', '20_69']",1,0.011130553494687622,34323586.84288354,-884.25
23_59,"['21_53', '22_0']",1,0.009240700216393895,32288326.12489753,-226.5
22_3,"['21_87', '21_20']",1,0.00700000398452596,33192386.31059652,-417.75
22_53,"['21_27', '21_67']",1,0.006705257259801547,32583097.350425143,-286.5
20_8,"['19_59', '19_51']",1,0.005668613609982639,32287168.848911315,-225.75
23_4,"['22_48', '22_48']",1,0.003891223270667926,33600533.47284737,-578.25
23_47,"['22_34', '20_69']",2,inf,34351955.20497529,-909.75
23_49,"['20_8', '21_79']",2,0.05997027298951593,31654442.46055619,-102.75
23_38,"['22_48', '22_32']",2,0.05276749265401907,34110522.30884531,-787.5
23_27,"['22_72', '22_53']",2,0.04120430451350603,32741704.595053364,-344.25
22_1,"['21_23', '21_27']",2,0.03724627642309336,31841363.020522587,-146.25
23_34,"['22_6', '22_46']",2,0.03607548293431098,33095133.26690083,-491.25
23_24,"['22_46', '22_85']",2,0.032061808250388575,33778001.37000638,-666.75
23_58,"['22_46', '21_71']",2,0.031898334263444544,32551077.294629563,-300.0
23_21,"['21_71', '22_48']",2,0.030328541005737758,33362414.397687502,-552.75
23_35,"['22_88', '22_3']",2,0.029487502093780853,32423347.437716216,-290.25
23_89,"['21_53', '22_25']",2,0.028416106836535174,31286905.00303142,-24.75
23_88,"['22_34', '22_1']",2,0.026979311239664596,33630161.78903727,-611.25
23_9,"['22_46', '20_8']",2,0.026816131933550612,32079260.747855425,-171.75
23_61,"['20_69', '22_34']",2,0.025303962192382415,34281680.9532788,-882.0
23_84,"['22_1', '22_64']",2,0.02422194416713735,32739668.098487385,-328.5
23_51,"['20_69', '20_8']",2,0.023975825412853036,33782384.895808026,-677.25
23_12,"['22_31', '22_34']",2,0.023280680638402232,33913635.3293172,-706.5
23_72,"['20_69', '22_1']",2,0.016491006965305154,33612740.839083,-595.5
23_6,"['22_1', '22_32']",2,0.01589797485583406,32754172.096214354,-372.75
23_40,"['10_73', '22_59']",2,0.012822968954500965,33088618.822122104,-455.25
23_1,"['22_25', '22_79']",2,0.00910666464668996,32813038.476612817,-384.75
23_25,"['20_8', '22_81']",2,0.008235878964163433,33009027.63650632,-417.0
23_56,"['21_53', '22_61']",2,0.007638030214823416,30792221.65460362,-1.5
23_3,"['22_1', '22_3']",2,0.0019264916096670805,32275371.765493713,-227.25
23_53,"['22_34', '22_68']",3,0.07084715471421833,32267400.272826225,-227.25
23_46,"['22_68', '22_72']",3,0.04804258282125319,32012563.59222843,-178.5
23_86,"['22_72', '20_69']",3,0.04235755334836756,33909331.94661777,-795.75
23_7,"['22_53', '22_81']",3,0.035998385532790916,34077076.87893784,-840.0
23_80,"['22_3', '22_46']",3,0.031332827884077936,32998357.532090515,-432.0
23_65,"['22_81', '22_59']",3,0.029556807675999525,34195005.8835929,-889.5
23_73,"['22_32', '22_25']",3,0.026234477684611616,32598227.95280691,-365.25
23_28,"['10_73', '21_71']",3,0.021321857953685915,30774953.153136186,-1.5
23_42,"['22_0', '20_8']",3,0.01820720199479617,33222131.497108687,-579.0
23_41,"['20_8', '22_48']",3,0.011818186748157466,32624834.199839704,-366.0
23_22,"['22_1', '22_85']",3,0.01065537569959919,32720834.43782405,-378.0
23_26,"['21_53', '20_69']",3,0.008186658573021496,33587305.364856414,-608.25
23_23,"['22_1', '22_25']",3,0.005197318001346154,32736067.29030872,-378.75
23_83,"['22_72', '10_73']",4,0.11615682048792055,22535882.459871307,-10.5
23_69,"['22_88', '22_68']",4,0.0690209686920238,30587214.987833887,-15.75
23_70,"['22_53', '22_1']",4,0.05192069683003298,32001246.48294314,-214.5
23_8,"['22_85', '10_73']",4,0.03265610778796668,32920202.63870593,-455.25
23_76,"['22_27', '21_53']",4,0.028435235091372288,32662339.024626635,-404.25
23_79,"['22_48', '22_27']",4,0.019020416993139548,33173788.924325116,-606.0
23_45,"['22_32', '22_59']",4,0.011778174200171038,33535985.173576128,-640.5
23_19,"['22_25', '22_31']",5,0.20516127181078567,23495256.493526585,-26.25
23_55,"['22_46', '20_8']",5,0.19232944460398202,27685321.602051545,-33.0
23_67,"['22_1', '22_25']",5,0.13455190023763225,29554205.87735066,-120.0
23_62,"['21_53', '22_72']",5,0.06500941803451832,29803075.834185492,-174.75
23_74,"['22_85', '21_53']",5,0.029703305524659055,32735167.539593715,-477.0
23_57,"['22_1', '21_53']",5,0.019392652953130102,31719774.166265834,-422.25
23_33,"['22_72', '22_34']",5,0.00942008937153668,33343631.097646475,-707.25
23_64,"['22_46', '21_79']",6,0.214334711853272,19805893.424148418,-58.5
23_0,"['22_59', '22_68']",6,0.09840571024236064,26296561.62125417,-322.5
23_43,"['20_8', '22_2']",6,0.026361789686686704,31472171.40148089,-481.5
23_50,"['22_53', '22_46']",7,0.19615076749088753,18336065.22990484,-60.75
23_44,"['22_79', '21_53']",7,0.1635911324594645,26053271.06845717,-389.25
23_68,"['22_61', '22_72']",8,inf,16420554.296963166,-76.5
23_85,"['21_71', '20_8']",8,0.17775214291537733,21692673.884458106,-446.25
